lat lon wh tt qc back ws
-35.33396 154.80835 2.3410000801086426 11610.799766348326 1.0 10.0 11.59999942779541
-35.367714 154.17096 3.5200002193450928 11617.145999348955 1.0 10.41 10.119999885559082
-35.34316 154.81357 1.9470001459121704 11620.715409432887 1.0 11.2 7.319999694824219
-35.32135 154.20145 2.061500072479248 11627.061639720807 1.0 11.045 7.859999656677246
-35.32463 154.80284 1.5795000791549683 11630.631041305023 1.0 10.36 10.300000190734863
-35.322964 154.19847 1.2815001010894775 11636.977292028372 1.0 12.66 3.9099998474121094
-35.299305 154.78497 4.034000396728516 11640.546695963596 1.0 8.95 15.399999618530273
-35.324226 154.19397 2.2855000495910645 11646.892945240135 1.0 12.405 4.314999580383301
-35.330204 154.8029 5.300000190734863 11650.462355595315 1.0 9.04 15.069999694824219
-35.325584 154.189 1.7885000705718994 11656.808595920098 1.0 11.655 5.944999694824219
-35.323883 154.79788 1.5125000476837158 11660.37799759477 1.0 11.285 7.029999732971191
-35.255596 154.2292 2.3430001735687256 11666.724256727379 1.0 19.82 1.149999976158142
-35.340553 154.80524 2.882000207901001 11670.293644477031 1.0 10.139999 11.09000015258789
-35.301846 154.20111 2.6470000743865967 11676.639905598946 1.0 10.349999 10.34000015258789
-35.331177 154.79666 1.6475000381469727 11680.209297281923 1.0 10.975 8.104999542236328
-35.30229 154.20206 2.3410000801086426 11686.555553927901 1.0 10.639999 9.300000190734863
-35.327194 154.79266 2.4155001640319824 11690.124934014166 1.0 10.594999 9.459999084472656
-35.300186 154.20316 2.064000129699707 11696.471178475884 1.0 10.61 9.399999618530273
-35.321823 154.78856 2.001500129699707 11700.04058038781 1.0 10.955 8.180000305175781
-35.303764 154.19917 1.7680001258850098 11706.38683539501 1.0 12.07 4.949999809265137
-35.31473 154.78316 1.8610000610351562 11709.95622431999 1.0 11.305 6.970000267028809
-35.303135 154.19771 1.6150001287460327 11716.30247983581 1.0 10.849999 8.550000190734863
-35.32975 154.7909 1.9780001640319824 11719.871870478848 1.0 10.995 8.039999008178711
-35.29696 154.2024 2.43500018119812 11726.218120659702 1.0 10.33 10.40999984741211
-35.102562 154.6528 1.534000039100647 11729.787505425396 1.0 12.36 4.389999866485596
-35.323776 154.18959 2.3465001583099365 11736.133746767417 1.0 10.46 9.9399995803833
-35.371773 154.8186 1.8280000686645508 11739.703151765047 1.0 15.965 1.7349998950958252
-35.324352 154.19379 2.0134999752044678 11746.049384686514 1.0 11.38 6.730000019073486
-35.474476 154.88577 2.2070000171661377 11749.618791051791 1.0 10.44 10.010000228881836
-35.32529 154.19676 3.5935001373291016 11755.96502007381 1.0 10.724999 8.994999885559082
-35.31974 154.79726 1.757500171661377 11759.534416051814 1.0 10.58 9.510000228881836
-35.291397 154.78738 2.7770001888275146 11779.365678620525 1.0 9.71 12.639999389648438
